klient_id,naam,ouderdom,pos_kode,registrasie_datum
K0001,Francois Botha,26,7625,2021-05-16
K0002,Maria Kruger,31,6850,2020-06-27
K0003,Elsie Pretorius,27,7600,2020-07-10
K0004,Maria Visagie,57,6850,2020-02-24
K0005,Andries Visagie,59,7646,2021-03-27
K0006,Zanele Marais,42,7600,2024-04-03
K0007,Kobus Kruger,52,7625,2021-07-23
K0008,Johan Visagie,46,7600,2020-07-08
K0009,Stefan Botha,47,7625,2023-05-21
K0010,Hannes van der Merwe,54,6850,2020-09-12
K0011,Willem Pretorius,30,6850,2021-08-23
K0012,Martie Mans,64,7625,2023-03-28
K0013,Maria Kriel,29,7600,2023-09-16
K0014,Maria Nel,30,7620,2020-07-25
K0015,Stefan Nel,54,7625,2020-11-29
K0016,Lindie Smit,38,7625,2023-12-08
K0017,Willem Mans,29,6850,2023-07-24
K0018,Johan Nel,40,7620,2022-08-04
K0019,Stefan Nel,65,6850,2021-03-25
K0020,Francois Smit,28,7620,2020-03-06
K0021,Kobus Smit,50,7625,2020-05-15
K0022,Maria Marais,45,7620,2023-09-04
K0023,Zanele Pretorius,54,7620,2021-06-26
K0024,Johan Visagie,60,6850,2021-06-22
K0025,Sannie Marais,52,6850,2022-03-28
K0026,Lindie Visagie,33,6850,2022-10-07
K0027,Anna van der Merwe,32,7620,2023-07-09
K0028,Johan Mans,52,6850,2020-05-10
K0029,Stefan Pretorius,63,7646,2022-12-19
K0030,Hannes Nel,25,7600,2023-10-28
K0031,Willem Nel,42,7625,2020-08-16
K0032,Hannes Pretorius,35,7646,2020-01-07
K0033,Sannie Kriel,41,6850,2024-04-09
K0034,Johan Nel,31,7625,2023-08-01
K0035,Andries Marais,37,7620,2022-02-04
K0036,Kobus Kruger,59,6850,2020-01-02
K0037,Elsie Smit,56,7600,2020-08-17
K0038,Willem Smit,44,7620,2020-04-28
K0039,Maria Marais,30,7600,2024-02-07
K0040,Zanele Botha,59,7620,2020-09-19
K0041,Francois Du Plessis,60,7620,2021-06-26
K0042,Andries Marais,52,7620,2023-01-09
K0043,Kobus Kriel,37,7625,2022-03-28
K0044,Francois Mans,48,7646,2022-11-25
K0045,Zanele Botha,40,7620,2020-05-11
K0046,Lindie van der Merwe,62,6850,2021-04-16
K0047,Elsie Visagie,25,7600,2023-12-20
